problem,algorithm,layer,depolarizing_noise,thermal_relaxation_noise,relative_performance
Max-Cut,WS-Init-QAOA,2,1.0,0.0,1.0191143749893379
Max-Cut,WS-Init-QAOA,2,1.0,0.25,1.01237269885103
Max-Cut,WS-Init-QAOA,2,1.0,0.5,1.0069373360893092
Max-Cut,WS-Init-QAOA,2,1.0,0.75,1.0001962415308958
Max-Cut,WS-Init-QAOA,2,1.0,1.0,0.9954002779636272
Max-Cut,WS-Init-QAOA,3,0.0,0.0,1.016623273898585
Max-Cut,WS-Init-QAOA,3,0.0,0.25,1.0087740261147702
Max-Cut,WS-Init-QAOA,3,0.0,0.5,1.0037177151102201
Max-Cut,WS-Init-QAOA,3,0.0,0.75,0.997672795879591
Max-Cut,WS-Init-QAOA,3,0.0,1.0,0.9903577944818203
Max-Cut,WS-Init-QAOA,3,0.25,0.0,1.012170429571637
Max-Cut,WS-Init-QAOA,3,0.25,0.25,1.00497355596055
Max-Cut,WS-Init-QAOA,3,0.25,0.5,1.0006824945797124
Max-Cut,WS-Init-QAOA,3,0.25,0.75,0.9933113485334935
Max-Cut,WS-Init-QAOA,3,0.25,1.0,0.9865614799941576
Max-Cut,WS-Init-QAOA,3,0.5,0.0,1.0060099264975615
Max-Cut,WS-Init-QAOA,3,0.5,0.25,1.0003754498843975
Max-Cut,WS-Init-QAOA,3,0.5,0.5,0.996415512038745
Max-Cut,WS-Init-QAOA,3,0.5,0.75,0.990555801627697
Max-Cut,WS-Init-QAOA,3,0.5,1.0,0.9827561270689894
Max-Cut,WS-Init-QAOA,3,0.75,0.0,1.0030893886703078
Max-Cut,WS-Init-QAOA,3,0.75,0.25,0.99649412846872
Max-Cut,WS-Init-QAOA,3,0.75,0.5,0.9923760936671332
Max-Cut,WS-Init-QAOA,3,0.75,0.75,0.9873964340352592
Max-Cut,WS-Init-QAOA,3,0.75,1.0,0.98027329944964
Max-Cut,WS-Init-QAOA,3,1.0,0.0,0.9977788429187726
Max-Cut,WS-Init-QAOA,3,1.0,0.25,0.9945085932558477
Max-Cut,WS-Init-QAOA,3,1.0,0.5,0.9893503635584499
Max-Cut,WS-Init-QAOA,3,1.0,0.75,0.9856634301996479
Max-Cut,WS-Init-QAOA,3,1.0,1.0,0.9790376488816631
Max-Cut,RQAOA,2,0.0,0.0,1.012980453834594
Max-Cut,RQAOA,2,0.0,0.25,1.0130592740569613
Max-Cut,RQAOA,2,0.0,0.5,1.013570092213776
Max-Cut,RQAOA,2,0.0,0.75,1.0138623945603453
Max-Cut,RQAOA,2,0.0,1.0,1.0121227185877741
Max-Cut,RQAOA,2,0.25,0.0,1.0115982239841521
Max-Cut,RQAOA,2,0.25,0.25,1.013709815139226
Max-Cut,RQAOA,2,0.25,0.5,1.013352729387755
Max-Cut,RQAOA,2,0.25,0.75,1.012473144017884
Max-Cut,RQAOA,2,0.25,1.0,1.0127740195428463
Max-Cut,RQAOA,2,0.5,0.0,1.0128829843758502
Max-Cut,RQAOA,2,0.5,0.25,1.0139546255595888
Max-Cut,RQAOA,2,0.5,0.5,1.0123621867712977
Max-Cut,RQAOA,2,0.5,0.75,1.0125842881157265
Max-Cut,RQAOA,2,0.5,1.0,1.0105507455828304
Max-Cut,RQAOA,2,0.75,0.0,1.0129414189499295
Max-Cut,RQAOA,2,0.75,0.25,1.0142884669169232
Max-Cut,RQAOA,2,0.75,0.5,1.0130465869361651
Max-Cut,RQAOA,2,0.75,0.75,1.0108422118036258
Max-Cut,RQAOA,2,0.75,1.0,1.0104646797584502
Max-Cut,RQAOA,2,1.0,0.0,1.0138916548211174
Max-Cut,RQAOA,2,1.0,0.25,1.012418545110619
Max-Cut,RQAOA,2,1.0,0.5,1.0125979410273271
Max-Cut,RQAOA,2,1.0,0.75,1.0108383003414638
Max-Cut,RQAOA,2,1.0,1.0,1.0094109066747174
Max-Cut,RQAOA,3,0.0,0.0,1.0043894777480014
Max-Cut,RQAOA,3,0.0,0.25,1.0029833616881616
Max-Cut,RQAOA,3,0.0,0.5,1.0033207785627742
Max-Cut,RQAOA,3,0.0,0.75,1.0038768438083674
Max-Cut,RQAOA,3,0.0,1.0,1.0014423706140325
Max-Cut,RQAOA,3,0.25,0.0,1.0039059169119682
Max-Cut,RQAOA,3,0.25,0.25,1.0030307314206288
Max-Cut,RQAOA,3,0.25,0.5,1.0024423845116766
Max-Cut,RQAOA,3,0.25,0.75,1.0050622498040547
Max-Cut,RQAOA,3,0.25,1.0,1.002339077265916
Max-Cut,RQAOA,3,0.5,0.0,1.0049675787171146
Max-Cut,RQAOA,3,0.5,0.25,1.0043391810010096
Max-Cut,RQAOA,3,0.5,0.5,1.004469465368621
Max-Cut,RQAOA,3,0.5,0.75,1.004353849160278
Max-Cut,RQAOA,3,0.5,1.0,1.0024129060582572
Max-Cut,RQAOA,3,0.75,0.0,1.0045198559420205
Max-Cut,RQAOA,3,0.75,0.25,1.0040628159511582
Max-Cut,RQAOA,3,0.75,0.5,1.002484344345935
Max-Cut,RQAOA,3,0.75,0.75,1.0032543512475685
Max-Cut,RQAOA,3,0.75,1.0,1.0019964591492179
Max-Cut,RQAOA,3,1.0,0.0,1.0045230092266204
Max-Cut,RQAOA,3,1.0,0.25,1.0048007508886645
Max-Cut,RQAOA,3,1.0,0.5,1.0036065067692512
Max-Cut,RQAOA,3,1.0,0.75,1.0029742139403774
Max-Cut,RQAOA,3,1.0,1.0,1.0019925077082137
Partition,QAOA,2,0.0,0.0,1.026992755022257
Partition,QAOA,2,0.0,0.25,1.0216316966755643
Partition,QAOA,2,0.0,0.5,1.0142944407381882
Partition,QAOA,2,0.0,0.75,1.0057570831652878
Partition,QAOA,2,0.0,1.0,0.9983373992458665
Partition,QAOA,2,0.25,0.0,1.0186615871246296
Partition,QAOA,2,0.25,0.25,1.0154987964709725
Partition,QAOA,2,0.25,0.5,1.0073987939616293
Partition,QAOA,2,0.25,0.75,0.9996375232401865
Partition,QAOA,2,0.25,1.0,0.9962575850487627
Partition,QAOA,2,0.5,0.0,1.0137226641285233
Partition,QAOA,2,0.5,0.25,1.0083080510150948
Partition,QAOA,2,0.5,0.5,1.0026313447708817
Partition,QAOA,2,0.5,0.75,0.9929029356102355
Partition,QAOA,2,0.5,1.0,0.989284360547122
Partition,QAOA,2,0.75,0.0,1.0075289206764884
Partition,QAOA,2,0.75,0.25,1.0011022975671733
Partition,QAOA,2,0.75,0.5,0.9944044569019578
Partition,QAOA,2,0.75,0.75,0.9882425479010783
Partition,QAOA,2,0.75,1.0,0.9850902644273716
Partition,QAOA,2,1.0,0.0,1.0010411485714585
Partition,QAOA,2,1.0,0.25,0.9947479194601643
Partition,QAOA,2,1.0,0.5,0.9924432695063224
Partition,QAOA,2,1.0,0.75,0.9854649785539276
Partition,QAOA,2,1.0,1.0,0.9826653347785747
Partition,QAOA,3,0.0,0.0,1.0101388680252614
Partition,QAOA,3,0.0,0.25,0.9992111961606092
Partition,QAOA,3,0.0,0.5,0.9941181490806542
Partition,QAOA,3,0.0,0.75,0.9901205064158999
Partition,QAOA,3,0.0,1.0,0.9921564628768091
Partition,QAOA,3,0.25,0.0,1.001902317229223
Partition,QAOA,3,0.25,0.25,0.9951300236967557
Partition,QAOA,3,0.25,0.5,0.9913124605680987
Partition,QAOA,3,0.25,0.75,0.9875756648069358
Partition,QAOA,3,0.25,1.0,0.9879429764040945
Partition,QAOA,3,0.5,0.0,0.9961502039113246
Partition,QAOA,3,0.5,0.25,0.9907698876117415
Partition,QAOA,3,0.5,0.5,0.9884698255565126
Partition,QAOA,3,0.5,0.75,0.9860722424498795
Partition,QAOA,3,0.5,1.0,0.9857834080157786
Partition,QAOA,3,0.75,0.0,0.9924469700632728
Partition,QAOA,3,0.75,0.25,0.988212637244817
Partition,QAOA,3,0.75,0.5,0.9857893774594508
Partition,QAOA,3,0.75,0.75,0.9845611248107925
Partition,QAOA,3,0.75,1.0,0.982448607731937
Partition,QAOA,3,1.0,0.0,0.9887872690878059
Partition,QAOA,3,1.0,0.25,0.9871210575902584
Partition,QAOA,3,1.0,0.5,0.9831378519515968
Partition,QAOA,3,1.0,0.75,0.984240323903832
Partition,QAOA,3,1.0,1.0,0.9794718517095912
Partition,WSQAOA,2,0.0,0.0,1.0037423935653835
Partition,WSQAOA,2,0.0,0.25,0.9927647660448791
Partition,WSQAOA,2,0.0,0.5,0.9847399131276634
Partition,WSQAOA,2,0.0,0.75,0.975989899810022
Partition,WSQAOA,2,0.0,1.0,0.9695599088561373
Partition,WSQAOA,2,0.25,0.0,0.9915236416277234
Partition,WSQAOA,2,0.25,0.25,0.9835771048533354
Partition,WSQAOA,2,0.25,0.5,0.9762035199890071
Partition,WSQAOA,2,0.25,0.75,0.9689266123578402
